공원명,주소,위도,경도
문화공원 1호(황해경제구역 현덕지구),경기도 평택시 현덕면 장수리 300-9,36.936623,126.905903
고덕문화마을1 소공원,경기도 평택시 고덕면 해창리 1141-1,37.040265,127.014809
금암2리 소공원,경기도 평택시 서탄면 금암리 469-8,37.110578,127.036043
동부19호 소공원,경기도 평택시 도일동 525,37.053,127.106322
상서재1호 소공원(동삭2지구),경기도 평택시 칠원동 334-4,37.019276,127.106952
상서재2호 소공원(동삭2지구),경기도 평택시 칠원동 337-1,37.019323,127.106823
서정동 소공원(서정연립재건축),경기도 평택시 서정동 780,37.069739,127.061914
성두 소공원(고덕일반산업단지 소공원1),경기도 평택시 고덕면 여염리 1665공,37.034796,127.043204
소공원 1호 (송원 현대재건축),경기도 평택시 독곡동 산69-3,37.084785,127.060812
수촌1 소공원(수촌지구),경기도 평택시 칠원동 440-3,37.021725,127.105338
신장지구 소공원,경기도 평택시 신장동 170-3,37.085809,127.054661
용우물 소공원(고덕일반산업단지 소공원3),경기도 평택시 고덕면 여염리 1652공,37.038943,127.050892
임주 소공원(고덕일반산업단지 소공원2),경기도 평택시 고덕면 여염리 1666공,37.037126,127.048316
장등1리 소공원,경기도 평택시 서탄면 장등리 466-8,37.074458,127.023535
장등2리 소공원,경기도 평택시 서탄면 장등리 451-9,37.073978,127.025434
제5호 소공원(진위역),경기도 평택시 진위면 하북리 140-11,37.110518,127.062712
제6호 소공원(진위역),경기도 평택시 진위면 하북리 170-1,37.110428,127.062125
진위3일반산단1호 소공원(진위3일반산업단지),경기도 평택시 진위면 마산리 336,37.08922,127.094889
진위3일반산단2호 소공원(진위3일반산업단지),경기도 평택시 진위면 마산리 산52,37.083073,127.098124
칠원 소공원,경기도 평택시 칠원동 58-1 58-3 50 49-6,37.032005,127.100642
풍진 소공원(신설),경기도 평택시 서정동 833,37.067101,127.055243
상서재 2호 수변공원(동삭2지구),경기도 평택시 칠원동 451-2,37.027392,127.115756
소풍정원,경기도 평택시 고덕면 궁리 424-25,37.011844,127.020575
수변공원 10호(고덕국제화지구 율포리),경기도 평택시 고덕면 율포리 65답,37.042043,127.044785
수변공원 11호(고덕국제화지구 여염리),경기도 평택시 고덕면 여염리 281-8답,37.042913,127.047362
수변공원 12호(고덕국제화지구 율포리),경기도 평택시 고덕면 율포리 산11-5임,37.04237,127.043867
수변공원 13호(고덕국제화지구  장당동),경기도 평택시 장당동 559-1대,37.041184,127.07125
수변공원 14호(고덕국제화지구  율포리),경기도 평택시 고덕면 율포리 2-6목,37.0499,127.043385
수변공원 15호(고덕국제화지구  장당동),경기도 평택시 장당동 524-58답,37.04907,127.052502
수변공원 1호(고덕국제화지구 해창리),경기도 평택시 고덕면 해창리 99답,37.027325,127.029194
수변공원 2호(고덕국제화지구 궁리),경기도 평택시 고덕면 궁리 303-2목,37.027408,127.0333
수변공원 3호(고덕국제화지구 해창리),경기도 평택시 고덕면 해창리 66답,37.030342,127.031781
수변공원 4호(고덕국제화지구 궁리),경기도 평택시 고덕면 궁리 310답,37.030414,127.033791
수변공원 5호(고덕국제화지구 좌교리),경기도 평택시 고덕면 좌교리 94답,37.033702,127.036699
수변공원 6호(고덕국제화지구 여염리),경기도 평택시 고덕면 여염리 377답,37.035169,127.042966
수변공원 7호(고덕국제화지구 여염리),경기도 평택시 고덕면 여염리 362-1답,37.036833,127.041657
수변공원 8호(고덕국제화지구 율포리),경기도 평택시 고덕면 율포리 98답,37.041322,127.042695
수변공원 9호(고덕국제화지구 여염리),경기도 평택시 고덕면 여염리 315답,37.040832,127.045428
수변공원(브레인시티),경기도 평택시 도일동 983-7,37.048381,127.098853
수촌1 수변공원(수촌지구),경기도 평택시 칠원동 289-25,37.020343,127.113678
제1호 수변공원(가재지구 128호),경기도 평택시 가재동 479-1,37.042328,127.077653
제2호 수변공원(가재지구 129호),경기도 평택시 가재동 479-1,37.042328,127.077653
