,사업장명,주소,위도,경도
838,이마트24 평택송담점,경기도 평택시 안중읍 안중리 449-7 ,36.9845445,126.9357533
842,세븐일레븐 평택역SK뷰점,경기도 평택시 통복동 733 평택역 SK VIEW ,36.9952727,127.0770541
848,세븐일레븐 평택용이빌리지점,경기도 평택시 용이동 465-1 ,36.9946010,127.1364776
852,씨유팽성시티빌점,경기도 평택시 팽성읍 객사리 82-11 윈저시티빌 ,36.9656908,127.0656567
854,이마트24R고덕16블럭점,경기도 평택시 고덕동 2275-8 1층 ,37.0355458,127.0421987
858,이마트24 평택사랑점,경기도 평택시 통복동 733 평택역 SK VIEW ,36.9952727,127.0770541
859,씨유평택동문3단지점,경기도 평택시 칠원동 613 평택지제역동문굿모닝힐맘시티3단지 상가동 103호,37.0244682,127.1016691
865,세븐일레븐 평택현곡산단점,경기도 평택시 청북읍 현곡리 459-4 104호,37.0373601,126.9464554
868,세븐일레븐 평택포승명지점,경기도 평택시 포승읍 내기리 19-9 ,36.9776608,126.8770752
873,지에스(GS)25송탄메디컬,경기도 평택시 지산동 1078 1층 ,37.0797511,127.0623869
877,씨유평택고덕시티점,경기도 평택시 고덕동 1694-514 1층 ,37.0434885,127.0372044
878,씨유평택고덕우체국점,경기도 평택시 고덕동 2214-4 1층 ,37.0393271,127.0456800
879,GS25 청북드림테크,경기도 평택시 청북읍 율북리 0 ,,
881,세븐일레븐평택서탄베스트점,경기도 평택시 서탄면 내천리 38-3 내천리근생1동 1층 ,37.1257176,127.0180349
882,지에스25용죽 스타루비점,경기도 평택시 용이동 674-4 ,36.9948417,127.1276918
885,세븐일레븐 팽성어썸점,경기도 평택시 팽성읍 내리 36-3 ,36.9730945,127.0336886
908,지에스25송탄하이퍼,경기도 평택시 신장동 269-106 1층 ,37.0744464,127.0497551
911,씨유소사벌행복점,경기도 평택시 죽백동 815 평택 LH 행복주택 ,37.0051698,127.1236171
915,씨유 평택합정스마일점,경기도 평택시 합정동 90-2 ,36.9866328,127.1118806
916,이마트24 포승삼부점,경기도 평택시 포승읍 도곡리 1137-10 세경빌딩 ,36.9904918,126.8458338
917,씨유송탄독곡점,"경기도 평택시 독곡동 474 아주아파트 1층 104호,105호",37.0829067,127.0629027
918,씨유평택세경점,경기도 평택시 서정동 815-3 1층 ,37.0679291,127.0622745
926,CU 안중현화중앙점,경기도 평택시 안중읍 현화리 831 붐붐프라자 ,36.9789933,126.9191019
927,씨유평택푸르지오점,경기도 평택시 용이동 471-1 평택 용이 푸르지오 ,36.9988661,127.1421730
928,씨유 평택센트럴자이점,경기도 평택시 동삭동 855 평택센트럴자이 5단지 ,37.0202607,127.1038341
931,세븐일레븐 평택청북부영점,경기도 평택시 청북읍 옥길리 1104 부영사랑으로 101호,37.0177101,126.9134152
939,씨유평택비전푸르지오점,경기도 평택시 용이동 648 평택 비전 푸르지오 ,36.9955667,127.1211068
940,씨유 팽성근내점,경기도 평택시 팽성읍 근내리 241-14 ,36.9714550,127.0579125
943,씨유평택신장점,경기도 평택시 신장동 606-9 1동 1층 ,37.0872313,127.0481366
944,씨유평택비전골든점,경기도 평택시 비전동 1070-4 골든플라자2 ,37.0022175,127.1056508
962,씨유포승도곡점,경기도 평택시 포승읍 도곡리 1143-1 ,36.9895045,126.8442123
969,씨유평택고덕신안점,경기도 평택시 고덕동 1897-3 신안인스빌시그니처 상가동 103호 ,37.0558526,127.0420624
971,CU평택고덕금호점,경기도 평택시 고덕동 1987-2 평택고덕어울림스퀘어 1층 105호,37.0439826,127.0456021
974,지에스25이충현명점,경기도 평택시 이충동 471-38 1층 일부 ,37.0556591,127.0586606
976,씨유평택리슈빌점,경기도 평택시 고덕동 1693-654 고덕 국제신도시 리슈빌 레이크 파크 근린생활시설-2동 110호 ,37.0366520,127.0352624
982,씨유송탄서두물로점,경기도 평택시 서정동 297-5 1층 ,37.0592059,127.0562882
983,GS25평택합정점,경기도 평택시 합정동 904-1 ,36.9896465,127.1042349
984,GS25 평택엘크루점,경기도 평택시 소사동 636 뉴비전엘크루 ,36.9874182,127.1170796
985,씨유 평택모산영신점,경기도 평택시 동삭동 산 61 ,37.0206466,127.0882821
986,세븐일레븐평택프리미엄아울렛점,경기도 평택시 장당동 154-2 평택고덕아이파크 판매시설동 3층 306호,37.0338375,127.0691430
989,씨유평택서재에이스점,경기도 평택시 동삭동 707-1 ,37.0090215,127.0968761
992,세븐일레븐 평택추팔공단점,경기도 평택시 팽성읍 추팔리 273-2 ,36.9625005,127.0719518
996,이마트24 평택벽산점,경기도 평택시 비전동 889 벽산아파트 ,36.9917803,127.1197627
1002,세븐일레븐평택고덕뷰파이브점,경기도 평택시 고덕동 2158-1 SH VIEW 101호 ,37.0398500,127.0505181
1004,세븐일레븐평택고덕하늘채점,경기도 평택시 고덕면 궁리 213-2 (외2필지) 1동 1층 ,37.0198665,127.0318941
1006,CU평택비전로점,경기도 평택시 비전동 786-7 ,37.0017453,127.0942228
1010,GS25평택성원점,경기도 평택시 서정동 509-11 가동 1층 ,37.0686086,127.0532593
1012,씨유 평택SK뷰점,경기도 평택시 소사동 524 평택 소사 에스케이뷰 아파트 ,36.9898501,127.1233158
1014,씨유 평택은성로점,경기도 평택시 비전동 605-22 ,36.9968658,127.0935297
1016,CU평택상공회의소점,경기도 평택시 고덕동 2153-4 107호,37.0405201,127.0504936
1017,씨유평택우미린점,경기도 평택시 장당동 635-3 아트프라자 105호,37.0524652,127.0625486
1023,씨유 오성숙성리점,경기도 평택시 오성면 숙성리 580-4 ,37.0014652,126.9779296
1029,세븐일레븐 평택청북고렴점,경기도 평택시 청북읍 고렴리 635 ,37.0638872,126.9203329
1033,세븐일레븐평택고덕교차로점,경기도 평택시 고덕면 동고리 369-4 1층 ,37.0099215,127.0429621
1039,세븐일레븐평택고덕점,"경기도 평택시 고덕동 2271-7 1층 102,103호",37.0364220,127.0412150
1040,이마트24 알(R)평택현덕점,경기도 평택시 현덕면 도대리 15-58 ,36.9626869,126.9173417
1042,씨유평택고덕삼성점,경기도 평택시 고덕동 2237-7 101호,37.0364491,127.0451186
1043,씨유평택고덕중앙점,경기도 평택시 고덕면 여염리 4284-11 1층 ,37.0530428,127.0480168
1044,씨유평택여중점,경기도 평택시 비전동 751-9 ,36.9938559,127.1011909
1045,GS25 지제힐스점,경기도 평택시 세교동 0 힐스테이트 지제역 ,,
1048,씨유송탄스타힐스점,경기도 평택시 신장동 694 송탄역 서희스타힐스 301동 103호,37.0855974,127.0546754
1050,지에스25고덕우성점,경기도 평택시 고덕면 여염리 4318-1 110호,37.0479175,127.0449730
1051,지에스25진위힐스점,경기도 평택시 진위면 갈곶리 397-3 삼익 그린빌Ⅰ 101호,37.1271529,127.0696041
1052,씨유평택원평동점,경기도 평택시 평택동 185-25 ,36.9897189,127.0848447
1053,씨유팽성센터점,경기도 평택시 팽성읍 객사리 40-10 ,36.9663153,127.0629161
1055,(주)코리아세븐평택고덕국제점,경기도 평택시 고덕동 2245-6 1층 ,37.0365931,127.0438469
1057,세븐일레븐 평택소사푸르지오점,경기도 평택시 비전동 970 평택소사벌푸르지오 ,37.0081966,127.1023543
1070,씨유평택통복중앙점,경기도 평택시 통복동 94-1 ,36.9964192,127.0860351
1073,씨유평택용이중앙점,경기도 평택시 용이동 465-4 ,36.9949229,127.1375524
1076,씨유 청북토진점,경기도 평택시 청북읍 토진리 403-8 ,37.0338881,126.9606474
1077,씨유 평택르플로랑점,"경기도 평택시 고덕동 1895-2 고덕국제신도시엘에이치르플로랑,1층 101호",37.0561588,127.0455272
1079,이마트24 평택비전도서관점,경기도 평택시 비전동 623-28 ,36.9957345,127.0925439
1087,씨유평택마두리점,경기도 평택시 서탄면 마두리 76-2 1층 ,37.1076882,127.0242519
1088,이마트24 포승홍원리점,경기도 평택시 포승읍 홍원리 196-14 ,37.0182752,126.8684654
1093,지에스25 팽성센트럴,경기도 평택시 팽성읍 송화리 781-7 ,36.9632936,127.0582679
1102,지에스25고덕비즈점,경기도 평택시 고덕면 해창리 1274-3 고덕비즈타워 122호,37.0273002,127.0170691
1103,세븐일레븐평택고덕스카이점,"경기도 평택시 고덕면 0 고덕국제화계획지구 및 택지개발지구 32 8-4, 1층 ",,
1104,씨유평택파라곤점,경기도 평택시 고덕면 0 고덕국제화계획지구A-40블럭 915동 111호,,
1107,이마트24R고덕엘림점,경기도 평택시 고덕면 좌교리 0 1층 ,,
1111,세븐일레븐평택고덕센터점,"경기도 평택시 고덕면 0 고덕국제화계획지구 FD 10-9-6, 1층 ",,
1113,지에스25 청북현곡,경기도 평택시 청북읍 현곡리 288 ,37.0408275,126.9357044
1121,GS25송탄가이아,경기도 평택시 지산동 808-4 가이아 프레지던스 1동 103호 ,37.0788490,127.0558877
1122,씨유 평택문화촌점,경기도 평택시 비전동 871-6 ,36.9971709,127.1137395
1124,씨유 평택가내마을점,경기도 평택시 죽백동 725 가내마을 5단지 ,37.0101839,127.1139434
1127,지에스25고덕그랜드점,경기도 평택시 고덕면 여염리 4229-1 그랜드메디컬타워 108호,37.0565822,127.0474096
1133,세븐일레븐 평택성모병원점,경기도 평택시 세교동 439-3 평택성모병원 ,37.0084026,127.0741577
1135,이마트24R평택센트럴자이,경기도 평택시 동삭동 852 평택센트럴자이 3단지 ,37.0209526,127.1005266
1142,GS25 평택지제대로점,경기도 평택시 지제동 367-7 ,37.0238366,127.0605670
1143,지에스25 SK항만주유소점,경기도 평택시 포승읍 신영리 413-11 항만주유소 ,36.9446903,126.8761243
1144,씨유 평택지제중앙점,경기도 평택시 지제동 922-1 ,37.0203500,127.0573220
