,사업장명,주소,위도,경도
361,폴바셋 평택소사DT점,경기도 평택시 소사동 674-1 ,36.9918441,127.1267935
362,카페437,경기도 평택시 포승읍 신영리 936-8 평택해양경찰서 본관 1층 ,36.9368315,126.8835341
363,미원갤러리카페,경기도 평택시 안중읍 안중리 262-3 1층 ,36.9871925,126.9268564
366,카페인중독 포승점,경기도 평택시 포승읍 도곡리 1121-6 ,36.9881813,126.8445782
370,더(The) 대단한 탕후루/커피(평택현촌점),경기도 평택시 용이동 594-4 ,36.9996690,127.1330157
378,한잔,경기도 평택시 신장동 243-3 평택 송탄역 클래시아 1층 104호 ,37.0760073,127.0549953
380,카페봄날,경기도 평택시 이충동 607 평택장당5차우미이노스빌 상가동 1층 104호,37.0538245,127.0612981
381,아이오(aio),경기도 평택시 안중읍 송담리 843-7 ,36.9793217,126.9270946
383,컴포즈커피 평택고덕국제도시점,경기도 평택시 고덕동 2516-1 ,37.0387946,127.0307645
384,투썸플레이스 고덕CN스퀘어점,경기도 평택시 고덕동 2164-1 고덕CN스퀘어 ,37.0395008,127.0485814
385,베이커리카페 코드비(CODEB),경기도 평택시 진위면 봉남리 26-8 ,37.1015863,127.1008900
386,로또명당,경기도 평택시 도일동 987 1동 1층 ,37.0434706,127.0999906
389,포포베이크샵(POPO BAKE SHOP),경기도 평택시 비전동 873-5 ,36.9968438,127.1145192
395,카페모이라이50(CAFE MOIRAI 50),경기도 평택시 고덕동 1907-1 ,37.0546650,127.0492843
400,빽다방 평택용죽점,경기도 평택시 용이동 685-2 ,36.9936885,127.1255718
404,카페테리아,경기도 평택시 칠괴동 582-1 K.본관동 1층 ,37.0300099,127.0972912
405,자동차카페,경기도 평택시 청북읍 후사리 278-31 1층 ,37.0286592,126.9419792
406,컴포즈커피 평택소사벌중흥점,경기도 평택시 죽백동 721 평택소사벌중흥에스-클래스에코시티 ,37.0085046,127.1101232
415,삼성전자사무복합동카페 (주)메가마트,경기도 평택시 고덕동 1696 주차타워 ,37.0314763,127.0482815
416,사현커피,경기도 평택시 고덕동 2048-2 에이스 퍼스트 고덕 1층 149호,37.0457133,127.0530162
419,꾸요트,경기도 평택시 고덕동 1886-1 그랜드메디컬타워 ,37.0565822,127.0474096
420,컴포즈커피(평택이충점),경기도 평택시 이충동 668-2 보람플러스2 1층 102호,37.0596395,127.0664891
421,파리블랑제리,경기도 평택시 비전동 602-7 ,36.9960818,127.0949606
422,cafe(카페)베델,경기도 평택시 비전동 800 한성아파트 ,37.0003029,127.0986826
424,달달로스터리,경기도 평택시 청북읍 옥길리 1162-1 한남프라자 201호,37.0174778,126.9159279
426,카페 비스위트,경기도 평택시 안중읍 덕우리 398-9 1층 ,37.0151333,126.9168138
427,스타벅스 평택비전DT점,경기도 평택시 비전동 17-1 ,37.0111402,127.1044979
428,커스텀커피 평택안중점,경기도 평택시 안중읍 송담리 849-16 1층 ,36.9778915,126.9259741
429,메가엠지씨커피 평택안중현화점,경기도 평택시 안중읍 현화리 835-1 대일빌딩 ,36.9793817,126.9218208
430,차케,경기도 평택시 안중읍 송담리 826-5 1층 ,36.9822515,126.9299090
434,조마이 과자점,경기도 평택시 용이동 439-3 ,36.9966852,127.1346597
435,메가엠지씨커피(mega mgc coffee) 평택시청점,경기도 평택시 합정동 972-12 ,36.9889623,127.1141871
446,초록미소마을,경기도 평택시 오성면 신리 148-6 2동 ,37.0085635,127.0021380
447,컴포즈커피 평택포승점,경기도 평택시 포승읍 도곡리 1121-10 3호,36.9891931,126.8438610
451,플러스82 평택고덕점,경기도 평택시 고덕동 2655-11 ,37.0380801,127.0319888
452,크로플덕오리아가씨 고덕점,경기도 평택시 고덕동 0 평택고덕 LH 12단지 근린생활시설동 1층 104호 일부 ,,
457,영커피 평택고덕헤리움점,경기도 평택시 고덕동 2226-3 고덕 헤리움 비즈타워 1차 1층 107호,37.0385283,127.0485940
459,cafe다온,경기도 평택시 비전동 1096 ,37.0024656,127.1145975
461,차차커피코 평택소사벌점,경기도 평택시 비전동 1090-1 삼성타워 ,37.0001359,127.1115813
463,웰카페,경기도 평택시 장안동 5-3 한국복지대학교 1동 본관동 1층(5-3외37필지) ,37.0522965,127.0950615
466,욤카페송탄점(YOM CAFE),경기도 평택시 서정동 815-8 1동 1층 ,37.0678765,127.0629256
469,아티제 삼성전자평택캠퍼스 1호점,경기도 평택시 고덕동 1695 사무동-2 1층(1695외1필지(1698-1)) ,37.0347238,127.0601098
470,휘도,경기도 평택시 비전동 1104 1052호,36.9991678,127.1125291
471,스타벅스 평택독곡DT점,"경기도 평택시 독곡동 386-1 1층,2층 ",37.0868433,127.0630813
475,벤티프레소(평택점),경기도 평택시 평택동 297-2 ,36.9908615,127.0879970
476,읍천리382 평택용죽점,경기도 평택시 용이동 682-11 ,36.9929592,127.1262922
482,얌이밀 평택고덕점,경기도 평택시 고덕동 0 평택고덕 LH 12단지 ,,
483,제리 아뜰리에,경기도 평택시 용이동 670-8 ,36.9942788,127.1283928
484,카페호담(CAFE호담),경기도 평택시 독곡동 170-5 1층 ,37.0900310,127.0723883
486,이스턴카페,경기도 평택시 소사동 106-5 ,36.9897814,127.1291209
487,오슬랑평택고덕삼성점,경기도 평택시 고덕동 2164-1 고덕 우석밸리치스퀘어 1층 127호 ,37.0395008,127.0485814
488,다봄 디저트 카페 (Dessert cafe),경기도 평택시 비전동 1090-1 삼성타워 ,37.0001359,127.1115813
489,커피포트,경기도 평택시 포승읍 만호리 576-2 포승 근로자복지회관 ,36.9752472,126.8451310
494,우드진 고덕stv점,경기도 평택시 고덕면 해창리 1277-1 외 1필지(1277-2) 고덕STV지식산업센터 1층 상가 113호 ,37.0265438,127.0157455
495,뉴문(NEW:MOON),경기도 평택시 용이동 739-2 ,37.0022876,127.1460398
496,컴포즈커피평택점촌점,경기도 평택시 서정동 891-1 ,37.0632060,127.0570054
498,커피랩(Koffee Lab),경기도 평택시 용이동 486-10 ,36.9998171,127.1487788
500,카페루이,경기도 평택시 팽성읍 안정리 141-15 ,36.9589437,127.0462832
502,메가엠지씨커피 평택팽성점,경기도 평택시 팽성읍 송화리 780-4 한미빌딩 ,36.9630681,127.0584626
503,올리터카페&디저트 평택안중점,경기도 평택시 안중읍 안중리 466-5 ,36.9839548,126.9321234
504,커피에반하다평택서정점,경기도 평택시 서정동 796-6 1층 ,37.0686690,127.0646314
508,달곰카페,경기도 평택시 고덕동 2175-4 ,37.0404871,127.0476744
509,이마트24고덕초교점,경기도 평택시 고덕동 2498-4 ,37.0415797,127.0280071
513,카페루시에,경기도 평택시 고덕동 2271-6 ,37.0365492,127.0412914
514,고유카페,경기도 평택시 동삭동 852 평택센트럴자이 3단지 342동 42호,37.0209526,127.1005266
515,시온,경기도 평택시 고덕면 방축리 57-16 ,37.0119276,127.0585334
518,스타벅스 평택고덕삼성점,"경기도 평택시 고덕동 1695 외 1필지, 사무동-2 1층 ",37.0347238,127.0601098
519,디저트테이블냠냠 안중점,경기도 평택시 안중읍 송담리 849-9 101호,36.9774761,126.9267450
526,플러스82 평택점,경기도 평택시 비전동 615-9 ,36.9941771,127.0943914
527,와플대학 평택중앙로캠퍼스,경기도 평택시 합정동 672-3 ,36.9934921,127.0935031
536,컴포즈커피평택에이스고덕점,경기도 평택시 고덕동 2048-2 ,37.0457133,127.0530162
537,어울림오성,경기도 평택시 오성면 숙성리 134-10 오성면 행정복지센터 ,37.0072397,126.9801937
538,채널오프(channel off),경기도 평택시 고덕동 2048-3 삼성에이아이센터 주건축물제1동 1층 101호,37.0457054,127.0536207
539,1985커피 평택안중점,경기도 평택시 안중읍 현화리 831 붐붐프라자 105호,36.9789933,126.9191019
543,컴포즈커피 평택안중터미널점,경기도 평택시 안중읍 현화리 837-13 우성프라자 106호,36.9786634,126.9235382
545,카페.뽕구름(cafe.뽕구름),경기도 평택시 비전동 613-5 ,36.9947883,127.0945638
546,바나타이거(BANA TIGER)평택고덕국제신도시점,경기도 평택시 고덕동 2661-1 ,37.0381216,127.0314517
547,문커피,경기도 평택시 지산동 810-14 ,37.0790793,127.0553873
549,미남커피 용죽센터포레점,경기도 평택시 용이동 641 e편한세상 비전 센터포레 ,36.9996202,127.1265294
551,안정리다방,경기도 평택시 팽성읍 안정리 148-7 ,36.9607341,127.0460484
564,더리터 평택고덕삼성점,경기도 평택시 고덕동 2164-3 고덕 헤리움 비즈타워 2차 1층 102호,37.0389429,127.0491774
570,투명공간,경기도 평택시 비전동 762-12 ,36.9917070,127.1037694
571,베러먼데이 평택고덕삼성점,경기도 평택시 고덕동 2224-1 주건축물제1동 1층 103호,37.0383081,127.0473930
575,풀과이슬,경기도 평택시 지산동 1184 1층 ,37.0761032,127.0661612
577,더벤티 평택고덕파라곤점,경기도 평택시 고덕동 1904-2 고덕국제신도시파라곤 지1층 301동 L105호,37.0536942,127.0452835
578,카페 더블유,경기도 평택시 가재동 283-30 ,37.0440332,127.0861484
581,시숲,경기도 평택시 현덕면 신왕리 287-1 ,36.9371087,126.9631743
583,주말공원,경기도 평택시 유천동 472-10 ,36.9712881,127.1102136
587,커피사피엔스 소사벌점,경기도 평택시 비전동 1090-5 골든프라자-7 ,37.0009077,127.1123817
590,미남커피 에듀점,경기도 평택시 고덕동 2647-2 고덕 에듀브릿지타운 주건축물제1동 1층 121호,37.0385195,127.0314705
591,컴포즈커피 평택고덕중앙점,경기도 평택시 고덕동 1977-1 대창P타워 주건축물제1동 1층 109호,37.0473895,127.0448857
594,버블커피 청북점,경기도 평택시 청북읍 옥길리 1141 ,37.0219425,126.9185029
595,139 cake,경기도 평택시 포승읍 도곡리 759-3 102호,36.9860837,126.8668782
604,화이트홀스 커피,경기도 평택시 안중읍 안중리 492-2 ,36.9821646,126.9349407
605,비건 빵빵이네,경기도 평택시 고덕동 2228-1 평택고덕엘에이치17단지 1층 상가동 108호,37.0378383,127.0466754
606,메가엠지씨커피 고덕메디컬센터점,경기도 평택시 고덕동 1975-1 ,37.0479175,127.0449730
608,하이오커피 고덕행복점,경기도 평택시 고덕동 2237-7 ,37.0364491,127.0451186
610,컴온 커피(COME ON COFFEE),경기도 평택시 지제동 825-2 ,37.0180404,127.0600451
611,어디카페,경기도 평택시 오성면 길음리 364-1 ,36.9842114,126.9719332
617,지에스25 서탄미소점,경기도 평택시 서탄면 내천리 640 1층 ,37.1262251,127.0059879
618,말나카페(Marna cafe),경기도 평택시 장안동 435-1 주건축물제1동 1층 ,37.0610289,127.0773189
619,오해피데이(Oh Happy Day),경기도 평택시 안중읍 현화리 831 붐붐프라자 136호,36.9789933,126.9191019
624,하우드(Haud),"경기도 평택시 신장동 274-129 가동 1층,2층 ",37.0795217,127.0529197
626,네쥬,경기도 평택시 고덕동 2582-4 ,37.0410569,127.0394085
628,텐퍼센트커피 평택고덕삼성점,경기도 평택시 고덕동 2226-2 창신베스트 ,37.0388868,127.0482213
