어린이집명,주소,위도,경도
자람어린이집,경기도 평택시 삼남로 17-6,37.0284574,127.0997900
시립송탄서희어린이집,경기도 평택시 목천로 65-15 관리동,37.0862603,127.0549455
키즈키즈어린이집,경기도 평택시 남산로 67-6,37.0870309,127.0490235
공군오산기지어린이집,경기도 평택시 신장로 55,37.0813753,127.0471980
민들레 어린이집,경기도 평택시 평택로 22 민들레어린이집,36.9899616,127.0893982
뽀로로어린이집,경기도 평택시 지산로37번길 10 장미아파트 (지산동),37.0797581,127.0593949
sk베베어린이집,"경기도 평택시 소사2길 9 108동 101호(소사동, 평택소사에스케이뷰아파트)",36.9895607,127.1239872
걸음마어린이집,"경기도 평택시 평남로 671 105동 103호(비전동, 비전경남아너스빌아파트)",36.9938858,127.1099699
꿈쟁이어린이집,경기도 평택시 매봉산4길 54 꿈쟁이어린이집 (비전동),36.9959621,127.1058466
무지개나라어린이집,"경기도 평택시 평택4로 124 103동 104호(비전동, 럭키덕동아파트)",36.9981149,127.1046987
비전푸르지오어린이집,경기도 평택시 용죽1로 14 110동 104호,36.9958323,127.1210455
사랑나무i어린이집,경기도 평택시 소사3로 22 효성해링턴플레이스 2단지 203동 101호,36.9878033,127.1291729
아가동산어린이집,경기도 평택시 팔각정길 8-14,36.9979782,127.1020667
아마데우스어린이집,경기도 평택시 매봉산5길 3 (비전동),36.9960623,127.1058021
예쁜아이어린이집,"경기도 평택시 평택4로 124 108동 106호(비전동, 럭키덕동아파트)",36.9981149,127.1046987
지혜샘어린이집,"경기도 평택시 평남로 737 102동 104호(비전동, 한빛아파트)",36.9961525,127.1158816
태산어린이집,"경기도 평택시 매봉산1길 11 101동 101호(비전동, 태산)",36.9985308,127.1067817
키즈월드어린이집,경기도 평택시 청북읍 옥길1길 240,37.0236450,126.9065471
평택청북1차부영사랑으로어린이집,경기도 평택시 청북읍 안청로1길 12 부영1차아파트 관리동,37.0160539,126.9143937
평택청북2차부영사랑으로어린이집,경기도 평택시 청북읍 청북남로 277 부영2차아파트 관리동,37.0176949,126.9137625
평택청북3차부영사랑으로어린이집,경기도 평택시 청북읍 청북남로 278 부영3차 관리동,37.0195353,126.9135711
한내들무지개어린이집,경기도 평택시 청북읍 안청로4길 53 유승한내들퍼스트뷰아파트 관리동,37.0234228,126.9246661
러블리어린이집,경기도 평택시 청북읍 청북남로 277 부영아파트 203동 101호,37.0176949,126.9137625
부영꼬망세어린이집,경기도 평택시 청북읍 안청로1길 92 508-103(부영5차아파트),37.0206420,126.9125702
모아미래도 어린이집,경기도 평택시 포승읍 여술로 74 모아미래도 아파트 관리동 1층,36.9906119,126.8500215
하나둘셋어린이집,경기도 평택시 포승읍 포승공단순환로 403 삼부르네상스1단지아파트 관리동,36.9890738,126.8513814
멜로디어린이집,경기도 평택시 포승읍 여술로43번길 18 202동 101호 (삼부르네상스2차),36.9907749,126.8475483
만도평택어린이집,경기도 평택시 포승읍 연암길 46 만도사원아파트 102동 105호~106호,36.9637309,126.8507325
해군어린이집,경기도 평택시 포승읍 2함대길 20 107동 뒤,36.9951586,126.8347709
조은아이어린이집,"경기도 평택시 평남로 281 109동 103호(통복동, 통복삼성아파트)",36.9918535,127.0797165
키즈삼성어린이집,"경기도 평택시 평남로 281 107동 103호(통복동, 통복삼성아파트)",36.9918535,127.0797165
단비어린이집,경기도 평택시 정암로60번길 46,37.0548421,127.0596599
리더스어린이집,경기도 평택시 동령길 14-2,37.0607339,127.0728788
새나라어린이집,"경기도 평택시 이충로 72 (중앙동,이충LIG아파트 관리소 1층)",37.0641860,127.0684196
꼬꼬마어린이집,"경기도 평택시 송탄공원로 146 105동 102호(지산동, 아주)",37.0777588,127.0648393
미주몬테소리어린이집,"경기도 평택시 이충로 60 101동 101호(이충동, 미주3차아파트)",37.0624530,127.0692260
