단지명,주소,층,계약년월,전용면적(㎡),건축년도,거래금액(만원),위도,경도
평택브라운스톤험프리스,경기도 평택시 팽성읍 안정리 360,13,202408,84.961,2016,"30,500",36.9654154,127.0488677
고덕하늘채시그니처,경기도 평택시 고덕면 궁리 523,24,202408,59.949,2021,"31,900",37.0201237,127.0345312
고덕국제신도시리슈빌레이크파크,경기도 평택시 고덕동 2683-1,7,202408,84.9793,2021,"57,000",37.0364883,127.0353743
평택비전푸르지오,경기도 평택시 용이동 648,12,202408,84.975,2016,"46,900",36.9955667,127.1211068
군문주공2,경기도 평택시 군문동 360,1,202408,59.96,1999,"17,000",36.9868636,127.0848746
평택군문1단지주공,경기도 평택시 군문동 370,3,202408,38.91,1999,"15,500",36.9866824,127.0816065
제일하이빌1차,경기도 평택시 장당동 631,1,202408,59.8748,2005,"24,000",37.0484020,127.0588693
청북풍림아이원,경기도 평택시 청북읍 옥길리 1144,10,202408,84.8157,2013,"23,000",37.0234115,126.9187388
부영사랑으로1단지,경기도 평택시 청북읍 옥길리 1110,11,202408,59.9605,2011,"15,300",37.0161358,126.9140475
제일하이빌1차,경기도 평택시 장당동 631,5,202408,59.9726,2005,"25,450",37.0484020,127.0588693
평택청북이안아파트,경기도 평택시 청북읍 옥길리 1091,10,202408,84.9742,2011,"24,000",37.0199948,126.9091959
청천,경기도 평택시 서정동 836-5,6,202408,39.11,1997,"9,000",37.0665145,127.0574581
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,9,202408,59.6236,2020,"40,000",37.0162832,127.0927203
더샵지제역센트럴파크1BL,경기도 평택시 동삭동 219-9,9,202408,74.9744,2020,"45,000",37.0141374,127.0903243
e편한세상평택용이2단지,경기도 평택시 용이동 738,4,202408,84.91,2017,"32,900",37.0031991,127.1465691
e편한세상평택용이1단지,경기도 평택시 용이동 737,5,202408,84.67,2017,"35,000",37.0021249,127.1441966
평택장안마을코오롱하늘채,경기도 평택시 장안동 619,4,202408,84.8821,2013,"33,000",37.0591088,127.0791805
힐스테이트 평택 1차,경기도 평택시 세교동 573,14,202408,73.55,2018,"38,800",37.0119561,127.0881501
시대한우리,경기도 평택시 비전동 874,2,202408,35.743,1995,"13,000",36.9977571,127.1156873
평택비전센트럴푸르지오,경기도 평택시 용이동 650,14,202408,84.536,2018,"48,500",36.9941872,127.1219508
평택장안마을코오롱하늘채,경기도 평택시 장안동 619,10,202408,114.3132,2013,"44,500",37.0591088,127.0791805
e편한세상평택용이1단지,경기도 평택시 용이동 737,16,202408,84.91,2017,"36,000",37.0021249,127.1441966
우미이노스빌5차,경기도 평택시 이충동 607,4,202408,84.6021,2006,"29,500",37.0538245,127.0612981
신안인스빌시그니처,경기도 평택시 고덕동 1897-3,17,202408,84.0374,2020,"58,600",37.0558526,127.0420624
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,7,202408,83.7111,2020,"55,000",37.0162832,127.0927203
평택장안마을코오롱하늘채,경기도 평택시 장안동 619,2,202408,84.8821,2013,"29,500",37.0591088,127.0791805
평택소사벌반도유보라아이비파크,경기도 평택시 죽백동 720,13,202408,84.8976,2016,"36,300",37.0102463,127.1111016
비전경남아너스빌,경기도 평택시 비전동 931,16,202408,121.541,2009,"41,000",36.9942798,127.1103136
평택소사벌푸르지오,경기도 평택시 비전동 970,23,202408,83.86,2019,"39,500",37.0081966,127.1023543
신명나리,경기도 평택시 비전동 881,16,202408,59.97,1995,"16,700",36.9931272,127.1194389
평택효성해링턴플레이스1단지,경기도 평택시 소사동 670,9,202408,84.772,2019,"41,000",36.9903797,127.1254279
태산신그린,경기도 평택시 비전동 828-1,6,202408,59.91,1995,"18,000",36.9976024,127.1089390
비전아이파크평택,경기도 평택시 용이동 639,18,202408,75.97,2018,"39,000",36.9987688,127.1251689
정암마을뜨란채,경기도 평택시 이충동 674,6,202408,84.85,2006,"31,000",37.0587043,127.0673833
평택센트럴자이1단지,경기도 평택시 동삭동 835,20,202408,59.1594,2017,"34,500",37.0169890,127.0990884
평택센트럴자이1단지,경기도 평택시 동삭동 835,20,202408,59.1594,2017,"34,500",37.0169890,127.0990884
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,21,202408,74.9929,2020,"50,500",37.0162832,127.0927203
힐스테이트지제역,경기도 평택시 동삭동 가-,6,202408,84.9542,2020,"67,000",,
평택비전푸르지오,경기도 평택시 용이동 648,18,202408,84.975,2016,"46,100",36.9955667,127.1211068
고덕국제신도시제일풍경채2차에듀,경기도 평택시 고덕동 2501-1,18,202408,84.908,2023,"65,000",37.0403648,127.0269241
힐스테이트 평택2차,경기도 평택시 세교동 597,6,202408,73.42,2018,"38,000",37.0099774,127.0867318
신안인스빌시그니처,경기도 평택시 고덕동 1897-3,13,202408,84.9534,2020,"60,700",37.0558526,127.0420624
진광무지개,경기도 평택시 팽성읍 안정리 100-98,3,202408,59.9,1997,"8,400",36.9628003,127.0405553
건영(지산),경기도 평택시 지산동 1094,4,202408,53.58,1993,"13,000",37.0763664,127.0639244
평택브라운스톤험프리스,경기도 평택시 팽성읍 안정리 360,10,202408,84.961,2016,"29,000",36.9654154,127.0488677
현대향촌,경기도 평택시 세교동 560,11,202408,84.95,1998,"27,000",37.0010762,127.0795586
소사벌리더스하임,경기도 평택시 비전동 1011,5,202408,84.97,2014,"34,500",37.0057422,127.1064767
신안인스빌시그니처,경기도 평택시 고덕동 1897-3,15,202408,84.9534,2020,"59,800",37.0558526,127.0420624
평택뉴비전엘크루,경기도 평택시 합정동 가-,15,202408,74.834,2021,"34,000",,
대준블루온,경기도 평택시 지산동 761-31,2,202408,49.83,2016,"16,500",37.0801707,127.0587045
평택청북한양수자인,경기도 평택시 청북읍 옥길리 1150,1,202408,84.9898,2016,"24,800",37.0232655,126.9218229
SR친오애,경기도 평택시 포승읍 만호리 646-1,2,202408,78.9582,2004,"14,800",36.9615202,126.8571889
동부,경기도 평택시 독곡동 475,3,202408,130.05,1994,"26,500",37.0814593,127.0632834
평택효성해링턴플레이스2단지,경기도 평택시 소사동 697,28,202408,84.793,2019,"39,500",36.9874051,127.1296995
더샵지제역센트럴파크1BL,경기도 평택시 동삭동 219-9,9,202408,59.7656,2020,"39,800",37.0141374,127.0903243
서정라페온빌3차,경기도 평택시 이충동 463,15,202408,29.03,2018,"8,700",37.0572596,127.0566094
서정라페온빌3차,경기도 평택시 이충동 463,11,202408,29.03,2018,"8,600",37.0572596,127.0566094
평택센트럴자이3단지,경기도 평택시 동삭동 852,23,202408,59.5152,2019,"38,000",37.0209526,127.1005266
평택서정동롯데캐슬,경기도 평택시 서정동 1121,14,202408,59.98,2010,"29,000",37.0600235,127.0602776
평택용이금호어울림1단지,경기도 평택시 용이동 581,9,202408,84.9936,2015,"33,500",37.0015751,127.1307921
더스위트하버,경기도 평택시 포승읍 만호리 574-7,7,202408,25.49,2017,"4,525",36.9760602,126.8435386
