시군명,측정소명,설치년도,측정망명,측정일시각,아황산가스농도값(ppm),일산화탄소농도값(ppm),오존농도값(ppm),이산화질소농도값(ppm),미세먼지PM10농도값(μg/m³),미세먼지PM2.5농도값(μg/m³)
안양시,안양2동,2004,도시대기,2023-09-19 15:00,0.003,0.4,0.09,0.01,45,2
안양시,부림동,1998,도시대기,2023-09-19 15:00,0.003,0.4,0.08,0.01,53,34
안양시,안양8동,1993,도시대기,2023-09-19 15:00,0.002,0.4,0.087,0.007,44,27
안양시,안양2동,2004,도시대기,2023-09-19 14:00,0.003,0.4,0.094,0.011,48,10
안양시,호계동,1992,도시대기,2023-09-19 14:00,0.002,0.4,0.078,0.018,48,37
안양시,부림동,1998,도시대기,2023-09-19 14:00,0.003,0.4,0.084,0.01,56,35
안양시,안양8동,1993,도시대기,2023-09-19 14:00,0.002,0.4,0.092,0.008,44,32
안양시,안양8동,1993,도시대기,2023-09-19 13:00,0.002,0.4,0.084,0.008,45,25
안양시,부림동,1998,도시대기,2023-09-19 13:00,0.003,0.4,0.075,0.011,52,31
안양시,호계동,1992,도시대기,2023-09-19 13:00,0.002,0.3,0.071,0.016,45,27
안양시,안양2동,2004,도시대기,2023-09-19 13:00,0.003,0.4,0.089,0.012,35,13
안양시,호계동,1992,도시대기,2023-09-19 12:00,0.002,0.3,0.052,0.018,37,18
안양시,안양2동,2004,도시대기,2023-09-19 12:00,0.002,0.4,0.071,0.01,15,8
안양시,부림동,1998,도시대기,2023-09-19 12:00,0.003,0.3,0.058,0.011,45,27
안양시,안양8동,1993,도시대기,2023-09-19 12:00,0.002,0.3,0.058,0.011,38,21
안양시,안양2동,2004,도시대기,2023-09-19 11:00,0.003,0.3,0.044,0.012,15,9
안양시,호계동,1992,도시대기,2023-09-19 11:00,0.002,0.3,0.037,0.021,35,24
안양시,부림동,1998,도시대기,2023-09-19 11:00,0.003,0.3,0.041,0.015,38,19
안양시,안양8동,1993,도시대기,2023-09-19 11:00,0.002,0.3,0.045,0.011,21,16
안양시,안양8동,1993,도시대기,2023-09-19 10:00,0.002,0.3,0.034,0.015,24,13
